trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",20,4,-47.22885518114171,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",30,0,-151.15216298922724,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",25,0,-230.18924899018398,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",30,0,-136.51489684881733,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,0,-63.85566151435266,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",20,0,-110.20614817372459,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,0,-142.8882853950246,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",20,0,-68.27248273703785,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",20,0,-55.249028845018074,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",20,0,-45.72004437995797,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",20,0,-3.9616485817659175,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",25,0,-85.59019206343551,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,0,-40.50315597440758,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",20,0,-29.07671341160131,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",30,11,19.98699516165842,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",20,0,8.990095421666155,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",30,5,41.021574484454604,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",20,0,20.316668763451275,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",20,8,20.7355961574235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",25,0,23.295697042504933,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,33.59559995529115,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,8,20.181340514871298,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,18.15116843847009,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,19.57902020137237,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,15,27.6997019226122,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,3,25.964620318438268,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,13,-20.798590684197354,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,7,17.737799448997684,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,15,7.513366308120936,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,6,25.823911009161606,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
