trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,7,-38.305856507336536,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-123.04766430029301,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-55.16749923250365,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-133.0772633624085,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-97.76529747228481,"{0: 13, 1: 8, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-54.9596288627937,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-134.64631594254695,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-72.7277287735667,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",35,0,-109.67774314149007,"{0: 24, 1: 1, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-202.86115889362583,"{0: 10, 1: 5, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-80.41658421797126,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-88.91589668312079,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-153.50306421700887,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-105.99687306406905,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-180.92825690153077,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-130.95100977156346,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-91.14862373996941,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-151.79432246045008,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-78.2169793658664,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-76.60326316936424,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-163.99213535580589,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-131.52008119737215,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-28.347244402817203,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",30,0,-93.62359426961169,"{0: 15, 1: 9, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",35,0,-243.78643795568584,"{0: 20, 1: 2, 2: 8, 3: 1, 4: 4}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-80.2351060344612,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",35,0,-135.34238464375548,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-312.87847401452444,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 6}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-136.769129851665,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-103.10328626866797,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",35,0,-147.56498847491895,"{0: 20, 1: 1, 2: 13, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,6,-85.31906537137183,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-32.92586177060639,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-94.4207206297634,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-140.34332812196655,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-94.42823228621995,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-145.3690965800037,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-21.963584627645115,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-92.60264870198586,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-198.84850504790614,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,12,0.564158179373639,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-147.05117486693493,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-50.54306905416831,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,10,-10.459564749944825,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-24.948651023850882,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-100.13964264459959,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-184.5717227993599,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
