trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.4939144009558,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,18,12.673822094420903,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.30192972122084,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.458274378116,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.88228003652725,"{0: 9, 1: 4, 2: 10, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,10,-0.25588424142137467,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.14039949364227,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.19849124242816,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.6632679714963,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.6940525996197,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.0938511118932,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,5,-117.74649011936832,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.16516985755922,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.78211482469537,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.1770805649153,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.30708999981604,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.73102824291158,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.23165373629183,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.22138921528938,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-76.51781371009983,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.07404002837735,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.19625655347515,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.20150215654945,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.1880245462528,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.16484643642289,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-193.52562466640057,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.68157430258829,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.83185829205355,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.68081243189907,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.16540498855439,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
